	Myeloid.cells	T.NK.cells	B.lymphocytes	Fibroblasts	Endothelial.cells	MAST.cells	Epithelial.cells
EMP3	5.871806669	1.16482966	1.220675356	2.294431133	0.598789031	2.409271089	0.444447587
ENG	0.683820933	0.015633746	0.011543859	1.283618492	3.593647081	0.030458036	0.152014567
ENPP2	0.279187165	0.00350092	0.008167088	0.275098817	2.693670025	0.035223926	0.015641337
EPAS1	0.318028363	0.027968941	0.014842814	0.63683036	4.19319965	0.174622578	0.859103271
EPCAM	0.065506537	0.033530429	0.051061564	0.07486679	0.060111841	0.024597844	5.146523843
EPS8	0.108323534	0.009041032	0.015916833	0.318178106	0.1532457	0.00882616	1.673158308
EREG	1.399983739	0.010592385	0.013026408	0.015880115	0.010500071	0.020748971	1.052550489
ERRFI1	0.138004899	0.032677566	0.026986727	0.319774446	0.070695625	0.027570109	2.698559134
ESAM	0.010638832	0.001897666	0.006013147	0.120841085	2.619707873	0.001411382	0.312862123
ETS1	0.052827572	0.30472957	0.100237161	0.125513859	0.972568716	0.021198811	0.130597075
ETS2	0.718473693	0.027647266	0.009813463	0.365340999	1.65209522	0.10876678	0.933951884
EVI2B	1.618473832	0.510904528	0.927825666	0.030101798	0.049770152	0.405991898	0.070969482
EVL	0.997570968	1.187989532	0.492924091	0.321198194	0.45245515	0.050181622	0.434434482
EZR	1.077173552	0.78277201	1.629262129	0.564012457	0.325468583	0.234874006	4.214874064
FABP4	6.028829833	0.030248693	0.031731286	0.092769504	3.540250986	0.031935366	0.142440587
FABP5	7.122989451	0.297935289	0.239441938	0.544921952	4.457794473	0.103241178	1.299925839
FAM167B	0.002285032	0.0041746	0.001798218	0.011221135	1.674977436	0	0.005604486
FAM177A1	0.67337637	0.767862719	0.313340805	0.586885641	0.692832344	0.349206847	2.318038179
FAM43A	0.050971991	0.076336832	0.069281056	0.26680178	1.916734965	0.049155817	0.033820078
FAM46A	0.31964793	0.043918308	0.035439235	0.497544156	0.019004118	0.396693071	0.836438475
FAM46C	0.07380901	0.454498533	0.607021487	0.071268004	0.049811357	0.040342931	0.23478157
FAU	16.80900387	7.486962637	13.02937822	13.9666195	10.84229241	9.867707757	21.13266058
FBLN1	0.033780132	0.012652348	0.020337919	12.7839552	0.02697921	0.011590238	0.089705448
FBLN2	0.008231341	0.001102419	0.006683494	1.347863428	0.206061713	0.025772545	0.089235965
FBLN5	0.010901624	0.043014095	0.008619077	1.444051615	0.129625419	0.00329437	0.148158474
FBP1	6.007601283	0.042579983	0.088078887	0.205761215	0.067255441	0.25074406	1.467905118
FCER1A	0.727074308	0.004187589	0.006154646	0.008424544	0.013238784	1.004642222	0.028891855
FCER1G	16.5789448	0.161210175	0.145861917	0.233741951	0.293272279	3.740443448	0.41119449
FCGR2A	2.238051722	0.012570808	0.02338564	0.047380661	0.061691866	0.039578267	0.434060882
FCGR3A	4.284079387	0.133448062	0.02779684	0.045123336	0.034674977	0.026958454	0.08978745
FCGRT	5.536808522	0.072308387	0.278158646	2.136307001	2.483375122	0.174433801	1.736315829
FCN3	0.003556524	0.001269239	0.001865933	0.003254828	2.177333592	0.000746205	0.006611787
FCRLA	0.00711519	0.001346797	0.378886395	0.002667315	0	0.003297298	0.009264094
FGF7	0.007372141	0.00433288	0.008443757	1.39646423	0.019861104	0.006315733	0.064655176
FHL1	0.256716022	0.02558489	0.012239789	2.35644128	0.453888514	0.088936823	0.039429329
FKBP11	0.076853652	0.238757146	2.129133686	0.786545658	0.220766928	0.05163528	0.413981043
FKBP1A	3.695328418	0.631221309	0.438316993	2.033216497	12.73494895	0.758582322	2.428637392
FLT1	0.098801358	0.002381741	0.000396038	0.000768999	2.430516069	0.001361766	0.006667673
FMO2	0.003902837	0.001012361	0.002647047	1.510182812	0.008573967	0.002951668	0.043167645
FN1	6.26987079	0.045770411	0.090794398	14.87608065	3.172491826	0.069702184	1.292091586
FNBP1	0.772116613	0.572171541	0.705705047	0.258161541	0.270257434	0.157433313	0.309654679
FOLR1	0.082319177	0.012223315	0.02924474	0.05015346	0.027191407	0.00861547	3.345178906
FOLR2	1.162024674	0.006117094	0.048273908	0.020871744	0.025296205	0.014041255	0.053713235
FOS	9.557917349	2.29778177	3.01627267	24.35996199	11.38225674	4.814633261	13.43620436
FOSB	3.765018959	0.614285292	1.516586306	8.251499383	4.24142759	3.762018848	7.366307633
FOXJ1	0.00564815	0.003734005	0.005687381	0.007948622	0.013303814	0.013618619	0.441888966
FOXP1	0.480699977	0.390414531	0.428174126	0.933509988	1.534532032	1.030587163	1.205297147
FRZB	0.005151638	0.001045077	0.020004747	1.670943326	0.009088121	0.002986562	0.00983103
FSCN1	0.354072576	0.011360566	0.016413676	0.416147064	1.215493009	0.047183326	0.383050458
FSTL1	0.011244938	0.003738817	0.007464486	2.203124159	0.413665955	0.003185286	0.52190614
FTH1	253.3627139	14.39196179	13.90844952	53.9691353	19.97499722	61.16990901	116.573616
FTL	615.2414274	6.815401234	18.28220394	45.06479748	22.40342342	26.91746759	101.1627528
FXYD1	0.01331232	0.035933191	0.032063668	1.491325852	0.011265081	0.062337632	0.03103128
FXYD3	0.059955306	0.027768307	0.041168463	0.053360791	0.043927416	0.016517474	4.636131962
FXYD5	3.18893118	1.783312563	1.467089431	0.682930922	1.968164324	2.766032989	1.791613556
FYB	1.929720238	1.073444652	0.054514651	0.069947716	0.07724294	0.059752254	0.167184794
FYN	0.144355088	0.639526991	0.055797644	0.214015646	0.710583142	0.120673952	0.149212877
G0S2	7.79713433	0.054707876	0.131760259	2.021027041	0.31815862	0.148772861	0.59673438
GADD45B	2.949466164	0.410542681	0.764611736	6.119032644	3.207830838	1.791465742	2.517770241
GALC	0.223005895	0.030607462	0.017366358	0.071871586	0.043193876	0.402371868	0.138607755
GAS6	0.372861412	0.005913219	0.183760806	1.949789048	0.970260391	0.009113044	0.519170595
GATA2	0.018013718	0.002323698	0.003836455	0.015653202	0.521921794	3.606466875	0.121483127
GATA3	0.048596687	0.329974835	0.014752969	0.037488102	0.050479204	0.007067327	0.036225036
GCHFR	5.063390758	0.192670741	0.146578552	0.128008345	0.099043302	0.189873932	1.120827922
GCSAML	0.00545059	0.000412215	0.001263939	0.000372084	0	0.553242714	0.004119751
GDF15	0.118942062	0.01962658	0.026277055	0.477141197	0.309981332	0.062885496	3.766134388
GIMAP4	0.607789442	0.388491006	0.038437624	0.030974804	1.449268014	0.013314787	0.04202374
GIMAP7	0.182568501	0.449397242	0.025668578	0.021353556	1.635518149	0.030908877	0.030719294
GJA1	0.010681875	0.002113711	0.004066378	0.423941487	1.756132348	0.002684957	0.405474206
GLRX	3.649923218	0.374872149	0.437957705	0.577822946	0.539071429	0.220604672	0.537153843
GLTSCR2	2.786978002	2.234884206	3.688356388	4.527135046	3.070183418	2.322563779	3.615314606
GLUL	9.773014922	0.165445165	0.116069042	0.999294104	0.71635697	3.394656561	2.946945536
GMFG	3.117102574	1.497529115	0.780538336	0.243389903	1.70461383	0.800180157	0.2128475
GNG11	0.135162895	0.013636949	0.046702382	0.926992629	9.490544201	0.013097229	0.349435665
GNG2	0.179193686	0.430402712	0.188088602	0.174022089	0.063191037	0.121083844	0.042390309
GNG7	0.090112694	0.005531755	0.516518552	0.037635129	0.127165594	0.040005262	0.109678502
GPC3	0.004116969	0.001921275	0.002240718	1.820833118	0.007144446	0.002677358	0.119583483
GPIHBP1	0.001204175	0.000473241	0.000275703	0.000186692	0.439949816	0	0.001303695
GPNMB	6.640029794	0.033140549	0.058270333	1.004830915	0.078282785	0.068272375	0.273766489
GPR183	5.900518042	0.862021882	1.571023637	0.109157451	0.127693514	0.184182995	0.359323369
GPR65	0.595060452	0.34892558	0.138424292	0.014406854	0.01717097	1.272291364	0.029386834
GPRC5A	0.052779081	0.015833646	0.018355048	0.253749007	0.025653515	0.021958745	5.990444048
GPX1	18.78127262	0.491096733	0.952664063	3.336881228	3.445431645	2.145426926	7.888254327
GPX3	0.470822899	0.011143079	0.020817597	3.394037587	2.288282706	0.018942491	0.70583393
GRAP2	0.020477124	0.161399806	0.007986298	0.015060783	0.007114466	0.517613324	0.016852414
GRN	11.98916456	0.102486336	0.498859515	1.525183243	2.092180334	0.342406531	2.370371482
GSN	2.902769376	0.034326554	0.074559433	4.637655524	3.294311143	0.237450047	2.504591561
GSTO1	4.493136918	0.290192112	0.300097799	1.29026743	1.365146827	0.484457902	0.899874622
GSTP1	6.201069285	0.645067045	1.83569716	4.936353851	2.541177076	1.017600359	22.83336215
GYPC	1.504259864	0.711889964	0.810779251	2.006450746	1.501863765	0.172977763	0.084185846
GZMA	0.130661473	2.038697791	0.076759498	0.047380511	0.04522188	0.036498078	0.092651793
GZMB	0.36731535	1.555830999	0.130793369	0.019765432	0.073174561	0.032518815	0.08370033
GZMH	0.053851281	0.888709324	0.028513578	0.033260822	0.030631871	0.01609678	0.038068487
GZMK	0.068832577	0.954569095	0.059764826	0.045870366	0.039172427	0.045209421	0.046989496
GZMM	0.043282198	0.529293528	0.018196668	0.019529644	0.024757701	0.012076682	0.043635613
H3F3B	13.15996516	5.865599021	7.167997414	12.4808478	10.1677153	14.79149991	17.01846312
HCST	2.452853487	1.735836813	0.339985445	0.093009369	0.07940947	0.675706073	0.235896465
HDC	0.003438657	0.00080556	0.000316116	0.009108863	0.001928673	0.858170939	0.007308015
HEG1	0.04792128	0.025851806	0.010230466	0.512774238	1.306192098	0.127582267	0.03685357
HERPUD1	1.75045082	0.657009622	6.420126901	1.623098712	1.341203778	0.506629372	1.604219041
HES1	0.663341915	0.032314138	0.239925316	2.515119879	4.561941831	2.014523785	3.644073915
HEXB	2.559928542	0.117942206	0.203292252	1.051754179	0.469638066	0.261301894	0.778293288
HLA-A	22.01775169	12.24136109	8.266699756	11.81517226	25.17719941	5.410053147	17.47722907
HLA-B	29.14988573	11.94979073	12.91776416	12.72700494	26.77629528	5.10295225	17.08882232
HLA-C	20.47126106	9.60269364	10.69808555	10.70183683	19.73709673	4.720846721	11.71190467
HLA-DMA	8.128271784	0.289710615	1.467503513	0.224456042	1.38861082	0.192393132	1.984627483
HLA-DMB	5.181051496	0.099759178	0.825010259	0.067221798	0.292392269	0.052278853	0.470810233
HLA-DOB	0.091442696	0.003925187	0.318833798	0.008871354	0.006875811	0.001659561	0.091553768
HLA-DPA1	34.54349665	0.883370232	5.23493608	0.618308251	2.649152464	0.422187103	4.611851766
HLA-DPB1	42.05524948	1.176627871	7.353470619	0.930427243	3.157224772	0.672795281	4.987011279
HLA-DQA1	17.1070345	0.339164039	3.066286852	0.26828895	0.784014025	0.108505157	1.360578271
HLA-DQA2	3.634354507	0.104410611	0.499582819	0.02180116	0.249985316	0.03117522	0.43973769
HLA-DQB1	18.23902933	0.453712096	3.648384558	0.260477246	1.120998601	0.18577809	2.494290878
HLA-DRA	103.3269941	1.4531861	17.19819442	1.658399385	7.519316655	1.092190661	11.7673003
HLA-DRB1	46.35307741	1.420412644	6.790858181	1.012804134	6.171552752	0.554403229	7.877506421
HLA-DRB5	9.210142106	0.211701396	0.99836691	0.12649259	1.229767309	0.08117351	2.273742477
HLA-E	6.551243304	3.493370825	3.90179181	2.827849607	13.56207882	2.101083111	3.056064274
HLA-F	0.922666402	0.650589357	0.532449725	0.425654433	1.008085035	0.180377161	0.745389506
HMGB2	1.036778294	0.849527206	0.556449688	0.469338127	0.458039159	0.462493637	0.771126363
HMOX1	2.210373094	0.023628092	0.050953564	0.107119744	0.103496261	0.020969142	0.419333949
HOPX	0.197662935	0.533334764	0.337239712	0.799854349	0.213422719	0.05338686	11.4522356
HPGD	0.200488853	0.075941154	0.043579955	0.093219955	1.019471086	4.310779835	1.321813114
HPGDS	0.394759117	0.008258532	0.008213695	0.011401731	0.006898166	4.76164969	0.042702205
HSD17B12	0.436814849	0.060221748	0.117461248	0.546110613	0.725215808	0.509486613	0.590426416
HSPA8	5.03315061	2.193091382	1.664238389	4.148802631	3.929804738	1.157783953	4.300830425
HSPB1	3.400444227	0.441415256	0.764174267	8.290773965	6.60948559	0.631865904	14.8849027
HSPG2	0.018820907	0.005346248	0.011902864	0.697025795	3.924906663	0.034803664	0.464299146
HTRA1	0.10810608	0.019260692	0.006239575	2.599257108	1.981495844	0.001747188	0.270385401
HTRA3	0.012286197	0.001823622	0.003921608	1.772594885	0.020057742	0.003761033	0.012307758
HYAL2	0.134632435	0.00889218	0.012422978	0.27245008	2.970596072	0.012639485	0.418343552
ICAM2	0.255893863	0.1504639	0.248800975	0.056466805	1.580944947	0.052084013	0.149506095
ICAM3	0.328487751	0.639850102	0.829041994	0.194740378	0.184294932	0.232925856	0.290719214
ICOS	0.05484535	0.506452282	0.019603418	0.025952182	0.01014286	0.01119934	0.061767632
ID1	0.077263534	0.061350082	0.057315422	0.987455326	6.550946742	0.035868296	1.863733361
ID2	5.271493047	1.564027148	0.179658323	3.228991215	1.498151238	5.903559619	1.045090924
ID3	0.618453586	0.139837476	0.526359421	3.732573156	6.923854937	0.018850955	0.442683706
IER2	3.570714176	0.975497453	1.856411893	9.466016411	5.908023031	2.640026553	6.830570061
IER3	6.533786279	0.097540448	0.121983424	4.102650987	1.91563344	0.862242058	4.123593902
IFI27	8.592431999	0.230348231	0.368270135	2.062269087	16.74830703	0.161908743	16.55146947
IFI30	1.386630143	0.006358463	0.143283067	0.019727652	0.056337954	0.013897513	0.077244185
IFI6	5.986800144	0.425362394	0.827805042	2.113257611	1.551218435	0.605508138	4.064414145
IFITM2	0.945851619	1.475200686	0.797510141	4.892543929	6.779311687	1.649128154	3.111906404
IFITM3	3.474392896	0.148155779	0.168905247	16.16502517	17.73285272	1.317517609	9.657676577
IFT57	0.192751838	0.085627383	0.279270346	0.6334748	0.29884359	0.122230364	2.717231258
IGF1	0.210753368	0.002320334	0.078963841	1.495087859	0.22386162	0.001417217	0.015825601
IGFBP3	0.027188378	0.023061926	0.015676918	1.928418322	1.96663858	0.01211614	2.908015495
IGFBP4	0.128215169	0.054334653	0.036161878	7.550615444	6.235971488	0.011585461	1.555221782
IGFBP5	0.007546634	0.003102107	0.003856874	4.353020901	0.751064038	0.009581252	0.188614167
IGFBP6	0.033346857	0.019117411	0.017154464	1.796362451	0.074029048	0.01057286	0.314536053
IGFBP7	0.372127918	0.082415757	0.076438523	41.98481863	40.09758	0.0680827	1.801858503
IGHA1	3.385723783	0.975028219	172.3067582	2.295741392	1.580464208	1.056865308	13.12656997
IGHA2	0.319182353	0.155895068	39.27535455	0.958754053	0.126961082	0.102624979	1.835856895
IGHG1	1.988232224	0.401589369	120.1095987	2.414356297	0.515057331	0.497586327	1.067008686
IGHG3	3.026494282	0.573771402	130.183276	3.237547466	2.613199755	0.828100752	1.805412788
IGHG4	1.65953152	0.385208826	79.09626632	1.364764226	0.616572305	0.544823963	1.590713093
IGHM	0.313738037	0.121614993	37.36332428	0.535942212	0.199828829	0.107461327	0.495990169
IGKC	12.155075	3.735826167	992.5922017	10.17880909	5.851062469	11.15330047	29.18854963
IGLC2	5.24831927	1.150525189	414.5621647	5.429530178	2.147542879	1.383537741	3.104965212
IGLC3	1.771753879	0.404035996	182.113145	2.276140375	0.704383393	0.269491216	1.030342555
IGSF6	2.720721452	0.009912437	0.012008615	0.017174738	0.021109392	0.005067864	0.033533054
IL18	1.001918974	0.007292194	0.016495095	0.100403039	0.020070947	0.425806277	0.489060627
IL1B	6.709282545	0.023836859	0.040826884	0.065995696	0.073614402	0.050440288	0.156576043
IL1RL1	0.0056599	0.003277009	0.001130022	0.007904371	0.091756653	0.884873024	0.038778895
IL1RN	1.351374255	0.009510984	0.017745416	0.02541254	0.024579789	0.019351384	0.06340675
IL2	0.002891278	0.018964561	0.001087839	0.000756583	0	0.000211388	0.005623518
IL2RA	0.170167338	0.191948418	0.075346039	0.013908205	0.002599445	0.046913217	0.007635127
IL2RG	0.602225584	1.029955138	0.580591959	0.049918795	0.044286017	0.168442238	0.101057118
IL32	0.85907104	6.593735834	0.255480492	2.988879539	3.551905645	0.139857987	2.48947367
IL33	0.001051644	0.000481787	0.000452593	0.098364615	2.012526121	0.000323428	0.007717248
IL3RA	0.267719005	0.001809209	0.005232097	0.006534205	0.580641241	0.012516916	0.012929162
IL7R	0.950250199	1.098784766	0.059684305	0.228407761	0.322038848	0.037224561	0.090108516
INMT	0.006852876	0.002326593	0.002511703	1.751886481	0.138466099	0.003487834	0.012059721
INPP5D	0.252834087	0.201820285	0.435411591	0.016521547	0.182359322	0.055266566	0.055667858
INSR	0.071194839	0.002780557	0.036317465	0.163412967	1.746180274	0.014941033	0.310362017
IRF1	1.106788882	0.642676562	0.613927948	2.536712779	3.128718067	0.413392442	0.938710968
IRF4	0.136671076	0.045160247	0.120347415	0.008558952	0.013929007	0.004865167	0.089916883
IRF8	0.958035762	0.027561311	0.545072118	0.218826653	0.073396505	0.01736742	0.077960855
ISG20	0.395240945	0.95065691	1.839377653	0.124787326	0.311260421	0.054796558	0.830980317
ISLR	0.006517889	0.001083317	0.003225391	1.767638895	0.004531808	0.002114671	0.005839685
ITGA3	0.03134832	0.017497172	0.028456962	0.096023917	0.163154779	0.02546311	2.245776153
ITGBL1	0.003513786	0.000923146	0.0024194	1.467596641	0.006651907	0.0028286	0.005033266
ITM2A	0.069684395	0.909800971	0.133536698	0.103096941	1.696276913	0.447507328	0.049577566
ITM2C	0.168557269	0.289082135	1.588558116	1.11880097	0.10854288	0.885491579	0.471797618
JAM2	0.007461661	0.001190192	0.006473133	0.160761312	1.562966702	0	0.000841721
JCHAIN	1.07776007	0.24335937	76.24524405	0.582354371	0.59427008	0.314482148	3.130642711
JUN	6.484500098	3.386498704	6.037430169	21.14546686	9.620692171	6.272361403	14.81976418
KDM6B	1.171486481	0.247602908	0.435624322	0.374613736	0.478899377	0.909802164	0.844327932
KIT	0.006162563	0.001420877	0.001944855	0.003892464	0.063530196	0.882520775	0.030887332
KLF2	0.599291315	0.258821532	0.755102559	0.787395035	1.785203899	0.120099364	0.53268444
KLF4	2.904858579	0.034712761	0.067760482	2.028614182	2.28536787	0.189219754	0.892603565
KLRB1	0.22435184	2.117694536	0.076244176	0.062704169	0.04959996	0.043036338	0.120471948
KLRG1	0.022463891	0.114951315	0.01110561	0.01486182	0.041379731	0.355350292	0.011215251
KMT2E	0.825766285	0.854648389	1.067954923	0.984036826	0.95947451	0.832759358	1.396841976
KRT18	0.160041439	0.082730093	0.173493697	0.906410808	0.352074967	0.065509284	15.06881111
KRT19	0.166601693	0.100971954	0.173845312	0.872982316	0.232438948	0.295951793	18.22684749
KRT7	0.108785076	0.053634608	0.083044135	0.183537739	0.074967855	0.041747284	10.04188194
KRT8	0.120350812	0.067126137	0.083202353	0.682889783	0.172676024	0.039344516	10.49736281
LAG3	0.044831925	0.237448262	0.03251744	0.044898785	0.008492354	0.002212698	0.066021141
LAPTM4A	2.072895372	0.323021071	0.576409157	6.209665575	2.712213229	3.777789317	3.035025425
LAPTM5	9.62702771	1.756018583	3.00256529	0.174164027	1.13411634	3.120415196	0.444967006
LAT	0.107005006	0.611307331	0.033541258	0.039368449	0.035889495	0.93762836	0.061350875
LAT2	0.653024713	0.032607812	0.280333121	0.015029172	0.019316837	0.734618904	0.041848938
LBH	0.043529906	0.274410667	0.154301646	2.045664975	0.68775311	0.053622158	0.376970188
LCK	0.083185147	0.956601751	0.106268235	0.044361344	0.041615097	0.014683898	0.057445431
LCN2	0.041054395	0.02425967	0.025853979	0.079431856	0.006155748	0.016892484	3.842178492
LDB2	0.001987525	0.001942132	0.001080412	0.188165615	2.513570823	0.022854197	0.003561197
LEO1	0.077776637	0.039975175	0.030103775	0.178664772	0.127356975	0.433661388	0.107029036
LEPROTL1	0.834960552	1.223052623	0.218754048	0.312451139	0.472462704	0.471325231	0.617917227
LGALS1	23.91588759	1.847000456	1.936258567	24.12745801	5.791059341	3.579586847	2.621369531
LGALS3	13.23361008	0.506189191	0.348377173	4.528860439	1.377215031	1.589225206	9.564912237
LGALS3BP	1.546002194	0.074603735	0.076051419	3.228294402	0.059749134	0.046712107	4.489182322
LGMN	2.768946154	0.032020243	0.120660864	0.647693955	0.485631529	0.017575255	1.435953954
LHFP	0.009789478	0.008661404	0.004477094	1.65279058	0.512921036	0.002775045	0.22149781
LIFR	0.004708598	0.001529057	0.001819404	0.165941449	0.673223295	0.001474147	0.379397245
LILRB4	1.655869502	0.005625489	0.020910017	0.023005258	0.028651705	0.005808983	0.02199843
LIMD2	0.666819218	0.873668941	1.035081199	0.213535725	0.261960302	0.182951451	0.456360793
LINC00152	0.587308837	0.620665768	0.688200314	0.813573597	0.806814626	0.215146028	0.952596414
LINC01272	1.772168974	0.009139235	0.015352566	0.01451244	0.012362724	0.008173964	0.049932244
LIPA	2.882451665	0.090112233	0.078120907	0.261942716	0.562805706	0.094774909	0.391954795
LMCD1	0.02465932	0.026137828	0.023998875	1.648844447	1.004785783	0.00800752	0.189638824
LMNA	3.790282366	1.455506253	1.106063675	5.948108026	4.032297336	6.205544013	6.118766039
LMO2	0.240769774	0.001117659	0.022962247	0.011684482	1.156472255	0.003291492	0.01631493
LMO4	0.566082323	0.093778018	0.228573392	1.621694466	0.391281436	1.479443069	0.629146109
LMO7	0.04889822	0.021287054	0.02577285	0.212392841	0.072873759	0.014939469	2.384681409
LOXL1	0.006140245	0.007078219	0.003937185	1.380527084	0.003986068	0.000211388	0.063459085
LPCAT1	0.206901744	0.055011891	0.0832134	0.106233019	0.21314467	0.050876303	5.624687266
LRP1	0.728271115	0.004568583	0.009844809	1.901310403	0.01105922	0.004445087	0.161352366
LSM7	0.973415552	0.391881225	0.752699243	0.924019696	1.05568002	0.351306862	1.666514908
LSP1	2.65090281	1.254662482	1.116323131	0.22216108	0.131963413	0.052552826	0.291542181
LSR	0.047059606	0.044534675	0.09899588	0.089295358	0.255861752	0.043757615	1.859322333
LST1	6.214245457	0.10426589	0.116280959	0.079212807	0.077216864	0.096000736	0.206795967
LTB	1.692404405	3.148324197	3.067334722	0.153831223	0.212778505	0.135569324	0.337966627
LTBP1	0.006075245	0.001620641	0.004200353	1.31252535	0.151912318	0.002756882	0.151597553
LTBP2	0.019013408	0.002879423	0.001929525	2.107040841	0.068527663	0.003930956	0.049236089
LTBP4	0.063232272	0.054911156	0.045775193	1.40792377	0.242492362	0.02344912	0.234749389
LTC4S	0.176928318	0.021226005	0.026619033	0.07498516	0.321788116	1.879445779	0.138362478
LUM	0.101648299	0.035244225	0.064358731	43.796229	0.059852256	0.039516748	0.162184002
LY6E	4.598050553	1.047798803	0.687456725	4.190298001	2.067334125	0.49836182	11.05133528
LY86	1.832869497	0.010036534	0.529041186	0.026703674	0.043889275	0.009382097	0.05376561
LY9	0.042304185	0.090037485	0.824678167	0.014932612	0.009880201	0.004009905	0.015484137
LY96	2.258057045	0.074374959	0.457918963	0.378825563	0.588525319	0.041124848	0.303184773
LYN	1.120219962	0.023948173	0.370265669	0.052420631	0.370237843	0.229445355	0.668225853
LYZ	41.89732863	0.169926544	0.233776031	0.458474776	0.496553184	0.231168035	0.788099221
MAF	0.531993701	0.21406876	0.009312054	0.409314085	0.332088526	0.045801624	0.07164129
MAFB	1.955716782	0.010995313	0.015688132	1.294617547	0.168242463	0.01131725	0.313030812
MAL2	0.042651731	0.016303107	0.028147438	0.048889089	0.016352545	0.014884314	4.385564233
MALL	0.033491174	0.014377001	0.011956229	0.056430375	0.49666087	0.01604103	4.077511353
MAOB	0.004312193	0.001562068	0.001657392	0.445658668	0.005218448	0.998419424	0.029854279
MARCKS	2.207591565	0.012377973	0.365485683	2.36234334	2.267497883	0.024884527	0.89318533
MARCKSL1	0.960538384	0.181176722	0.56513556	1.110684572	5.645106863	0.207636214	2.425904088
MARCO	7.160085762	0.030883247	0.056550253	0.048299607	0.059943161	0.030482081	0.140041446
MCAM	0.004058144	0.011634751	0.002676705	0.226126463	1.28342603	0.000211388	0.076057938
MCEMP1	2.743138976	0.01264535	0.018800121	0.024380902	0.019597423	0.012477205	0.062533507
MDK	0.20470177	0.047444793	0.157793159	3.467444206	1.260492349	0.079212937	6.191944853
MEF2C	0.497994971	0.0050352	0.781309501	0.378038322	1.079106315	0.007772661	0.350805538
MEG3	0.005651417	0.002205394	0.003740621	1.662442513	0.018971699	0.097109624	0.421604655
MET	0.021097628	0.009528742	0.022118106	0.041978536	0.19051752	0.005754925	1.954785244
MFAP4	0.020327761	0.007466221	0.010362091	7.754205009	0.072154989	0.009059364	0.031189332
MFGE8	0.035870891	0.026280871	0.0228897	1.962926168	0.135829105	0.026325057	0.395039746
MGLL	0.6228541	0.01559225	0.052484247	0.371169371	1.015590531	0.031879884	2.248534133
MGP	0.340555786	0.10626151	0.187081112	69.66077093	18.43310478	0.099790324	2.054839131
MGST1	0.660654898	0.072340934	0.114230082	0.710707321	0.098756508	0.082055911	10.88140932
MGST2	0.895997405	0.032628101	0.022931922	0.335586418	1.721946536	0.113939031	0.739350788
MITF	0.372152743	0.00101334	0.009826413	0.232800254	0.019594493	0.437513253	0.11138034
MLPH	0.17585259	0.00866478	0.021107008	0.030451611	0.013717662	0.362380691	2.161150342
MMP2	0.106569765	0.00927695	0.016565663	7.373943425	0.742512674	0.012758612	0.051463128
MMP23B	0.011681129	0.012520157	0.010657101	1.648539531	0.002317503	0.00761319	0.092519147
MMP7	0.070413333	0.019414089	0.02168434	0.035855975	0.032627414	0.012225047	2.839156293
MMRN1	0.001646949	0.000921884	0.00069157	0.000908779	1.131272747	0	0.000587121
MMRN2	0.001600588	0.000508543	0.000745423	0.008863118	1.076599343	0.000211388	0.011726147
MNDA	2.074688267	0.010092497	0.084473606	0.01239267	0.012575647	0.018966591	0.031520611
MRC1	2.286080003	0.014758612	0.02149713	0.031088077	0.160318892	0.013478611	0.041903962
MRPL14	0.856349329	0.176661098	0.266462137	0.579717927	0.539160398	0.209358431	4.005004308
MS4A1	0.027789481	0.020340275	1.908227517	0.0089511	0.01274514	0.01333499	0.034743433
MS4A2	0.012967427	0.001421356	0.003903064	0.008739486	0.010880792	3.911002588	0.029857611
MS4A4A	2.266156322	0.010943399	0.01238041	0.028305515	0.002974799	0.023588808	0.08787516
MS4A6A	5.088771339	0.035173321	0.034439128	0.051229933	0.054335536	0.033972169	0.112566671
MS4A7	3.959952962	0.013259841	0.085555083	0.034119223	0.049693541	0.01705699	0.073189878
MSR1	2.614650507	0.010939265	0.018156951	0.049957158	0.0314167	0.010811749	0.081291346
MSRA	0.391341609	0.05088541	0.078343978	0.172133042	0.411689525	0.58399813	0.224572086
MT-ATP6	34.80886143	8.667461663	13.68956655	27.44882716	25.12413958	10.88029043	100.1704183
MT-CO2	54.75619339	11.06953602	19.17389377	28.44296022	29.55584243	17.62524927	142.6153515
MT-CO3	62.49079807	13.17473885	21.30548296	40.35427735	36.05184127	14.13267805	161.3861441
MT-CYB	28.15522635	7.899273094	12.10619025	24.01028577	24.11559751	8.533140176	74.41863909
MT-ND1	30.92208089	6.044133045	10.87646628	19.99298134	20.81078395	7.824687464	111.3797166
MT-ND2	37.6198063	9.16271392	15.39794244	23.1702227	25.08641072	13.64600429	95.22101436
MT-ND4	43.8788354	8.750791716	15.95886327	31.32318213	27.83879912	17.47858832	104.8276832
MT2A	3.571070363	1.424691229	0.405944836	9.799830633	3.816192766	1.284009499	2.445432463
MUC1	0.164680997	0.064297691	0.108650323	0.21406802	0.123801077	0.048445104	15.06188529
MXRA8	0.011066245	0.004144089	0.004211048	3.034282411	0.007712881	0.000913356	0.264494829
MYADM	1.009983139	0.479043498	0.307723683	1.605383902	0.869305427	1.249324291	0.361785719
MYH9	0.755109452	0.353341484	0.187652897	1.274334292	2.376815653	0.122331954	1.67013987
MYL9	0.07104067	0.010483147	0.058483512	7.239093937	1.138300863	0.022779062	0.954824639
